team name          	 NM1    	 NM2    	 NM3    	 NM4    	 HD1    	 HD2    	 HR1    	 HR2    	 DT1    	 DT2    	 Seed	 NM Seed	 HD Seed	 HR Seed	 DT Seed	 NM1	 NM2	 NM3	 NM4	 HD1	 HD2	 HR1	 HR2	 DT1	 DT2
HikkaSka           	  230688	  187503	  146658	  137526	   80002	   46933	  207419	   70136	   79128	   84555	   38	      99	      99	      99	      99	  99	  96	  98	  99	  99	  99	  99	  99	  99	  99
bedge              	  840996	 1181927	  636506	  717795	  952002	  351167	 1064518	  819396	 1215414	  467721	   45	      36	      66	      39	      43	  47	  15	  50	  39	  47	  74	  46	  31	  32	  58
bolas peludas      	  865999	  842836	  630582	  703058	 1471924	  970355	 1160505	  776198	 1017933	 1355065	   27	      45	      12	      36	      22	  41	  40	  51	  41	  12	  17	  34	  34	  44	   7
boytots slave ring 	 1030740	  955543	 1036155	 1087630	 1474882	  857917	 1117738	  979866	 1307851	  709491	   17	      15	      14	      23	      33	  22	  33	  11	   7	  11	  20	  42	  19	  27	  37
chocked up         	  745400	  802655	  688496	  968985	 1107775	  600071	 1156200	  860948	 1410760	 1079075	   30	      40	      38	      27	      14	  62	  44	  43	   9	  31	  46	  36	  28	  21	  13
MeOwz              	  812101	  767908	  648732	  673833	 1162580	  631410	  738891	  424982	  374297	  365209	   62	      50	      32	      68	      80	  53	  50	  48	  44	  27	  41	  72	  69	  85	  68
Rin Kokonoe        	  845848	  677961	  615695	  634985	  865021	  305052	  868202	  485515	 1227401	  451350	   59	      56	      71	      64	      44	  45	  62	  53	  54	  64	  80	  59	  64	  31	  59
good meowning      	  823047	 1130352	  949315	  951132	 1478071	 1039206	 1183166	  722643	 1149912	  757336	   23	      21	      10	      37	      37	  50	  19	  18	  11	   9	  13	  33	  36	  35	  34
grease monkey      	 1211185	  984159	 1176944	 1144455	 1718519	  982334	 1142987	  825202	  984083	 1002077	   14	      10	       6	      32	      35	  12	  32	   6	   5	   6	  16	  38	  30	  48	  17
halcyon            	 1103353	 1635805	  919560	 1270090	 1741258	  612811	 1727722	 1351624	 1874806	 1510307	    5	       6	      13	       3	       3	  16	   2	  21	   3	   5	  43	   5	   3	   3	   3
ikun               	  761820	 1113237	 1157074	  823148	  965874	  641096	 1066801	 1246748	 1780935	 1456770	   15	      20	      43	      17	       5	  59	  21	   9	  23	  44	  39	  45	   6	   4	   5
squarem            	  483203	  488391	  323298	  307134	 1035605	  352755	  492778	  655075	  597580	  486978	   76	      86	      59	      69	      69	  94	  77	  86	  94	  40	  73	  91	  41	  73	  53
mariSad            	 1299446	 1248351	 1158601	 1425342	 1222078	 1104157	 1733960	 1014908	 1414593	  816826	    7	       3	      16	       6	      26	   9	  12	   8	   2	  23	  10	   4	  16	  20	  31
Astrosu            	  581388	  667764	  503161	  479129	  596887	  168441	  772822	  333286	 1133495	  579967	   73	      73	      87	      73	      40	  81	  64	  66	  74	  84	  92	  67	  78	  36	  48
of 4 is good       	  756499	 1364693	  748504	  803636	  918740	  852080	 1122915	  862507	 1268284	 1052972	   28	      26	      35	      31	      25	  60	   8	  33	  24	  52	  21	  41	  27	  28	  15
oldmappinglovers   	  635386	  656233	  412213	  357784	  669983	  324837	  773912	  275443	  396734	  218851	   81	      75	      82	      76	      86	  75	  66	  76	  89	  76	  75	  66	  84	  84	  86
osu!Team           	  915974	 1181904	  699294	  967183	  890162	  713026	 1154796	  857783	  941622	  727340	   37	      23	      44	      28	      45	  35	  16	  42	  10	  59	  32	  37	  29	  51	  35
[ Demo ]           	  575467	  269634	  202304	  345086	  503144	  126293	  522927	  151907	  194632	  157554	   94	      92	      92	      92	      96	  83	  89	  94	  90	  89	  96	  86	  94	  96	  93
Ryzeren            	  609464	  279402	  525079	  456307	 1195509	  866027	  724195	  248738	  594703	  473561	   69	      79	      23	      80	      71	  76	  88	  64	  76	  26	  19	  74	  86	  74	  56
rinbot             	 1427177	 1226859	 1115478	 1653108	 1426569	 1132495	 1261629	  917426	 1541197	  686539	    9	       2	       9	      22	      27	   5	  13	  10	   1	  14	   7	  26	  22	  14	  39
sanae san          	  925503	 1086301	  867489	  841263	 1044617	  669709	 1457649	  817091	 1346880	  988825	   25	      24	      37	      20	      23	  34	  24	  26	  22	  38	  37	  10	  32	  24	  18
GodRoPoNiKa        	  693991	  260095	  327586	  359549	  293065	  155926	  331327	  184187	  222412	  181034	   93	      85	      95	      96	      92	  67	  90	  85	  88	  97	  94	  98	  89	  93	  91
the avengers       	 1307190	 1299757	 1186443	  845124	 1208895	 1049090	 1309715	 1277092	 1184686	 1312778	   10	       9	      18	      11	      13	   7	   9	   5	  21	  24	  12	  19	   4	  34	   8
touhou haters      	  608217	 1133640	  518563	  513858	 1052369	  759301	  734281	  599040	  997372	  391755	   53	      57	      31	      65	      54	  77	  18	  65	  69	  37	  27	  73	  51	  46	  65
wooters            	 1575688	 1441076	  700797	  928474	 1283627	  725977	 1439964	 1255781	 1425158	  949042	   13	       8	      27	       8	      21	   3	   6	  41	  14	  20	  29	  11	   5	  18	  21
Mizeree            	  505494	  476690	   54974	  338218	  691539	  307529	  645190	  293395	 1102078	  447154	   80	      93	      81	      81	      48	  91	  79	  99	  91	  73	  79	  81	  82	  38	  60
? IQ               	  821487	 1206308	  711199	  725019	  893737	  514818	 1159890	  675777	 1595194	 1024398	   34	      32	      57	      40	      10	  51	  14	  40	  36	  58	  58	  35	  39	  11	  16
